"Product Name","Collection Name","Serial No","Fabric Type","Stock","PO Pending Qty"
"C077535P-P-140PLAIN78150PLAIN-CU0103904","MYSTIQUE","11","-","0.7","900"
"ONDINE-12418-505-D 160-RG2705396","SOLACE","5704","-","1","300"
"CUBIS-2063-GB4-W-LARGE(160X230CMS)-RG2704485","RUGS 2022","2383","-","1","0"
"CELESTE-60001-C9F X-XL-RG2504288","SOLACE","5294","-","1","0"
"C075577P-P-N300PLAIN73475PLAIN-CU0103331","FORECAST","51","-","1","300"
"GRACE-466298-AK700-DOUBLE XL(240X330CMS)-RG2504955","RUGS 2024","4207","-","1","0"
"SAMPLE.DECO-4105C00-TAUPE /  BEIGE-L-RG2706127","RUGS SAMPLE","18","-","1","0"
"PATINA-410146-620-LARGE(160X230CMS)-RG2704594","RUGS 2021","1779","-","1","0"
"BATIK-38119-421-MEDIUM(120X170CMS)-RG2703809","RUGS","196","-","1","0"
"BED SHEET SET P0024-CHANTILLY-ASH ROSE K-MU1300631","URBAN CLASSICS","5","-","1","4"
"ATHENA-474309-002-D 160-RG2703705","SOLACE","5626","-","1","0"
"ATHENA-474261-000-XXL-RG2504070","SOLACE","5607","-","1","0"
"SAMPLE.DECO-4048C00-BEIGE /  TAUPE-L-RG2706124","RUGS SAMPLE","15","-","1","0"
"SAMPLE.OMEGA-13000-YR9 W-L-RG2706181","RUGS SAMPLE","72","-","1","0"
"ORION-475384-110-XL-RG2506732","RUGS 2024","4520","-","1","300"
"POSEIDON-2704-NV6 B-LARGE(160X230CMS)-RG2704721","RUGS 2020","426","-","1","0"
"SIERRA-45614-200-MEDIUM(120X170CMS)-RG2705298","RUGS","899","-","1","0"
"DUVET SET P0034-CELESTE-CHOCOLATE CHIP D-MU1300214","ORIGINS","46","-","1","4"
"BED SHEET SET PBD 015-CHESTER-BLUE MIST-MU1302484","IMPRESSIONS","10","-","1","0"
"SERRA-28001-E8H L-M-RG2705263","SOLACE","5462","-","1","0"
"MATRIX-520-A8S 5-XXL-RG2506542","RUGS 2024","4566","-","1","0"
"AERIAL-912881-A8S D-XL-RG2506453","NOVA","5159","-","1","0"
"BED SHEET SET P002-IRISH CREAM KING 274X-MU1300705","SANSAAR PLAINS","25","-","1","4"
"COMFORTER MOM 087-CELENE-MARSHMALLOW-OAT-MU1300054","MOMENTS","54","-","1","4"
"SIERRA-45614-000-EXTRA LARGE(200X290CMS)-RG2505864","RUGS","897","-","1","0"
"DOLCE-85001-A8S K-XXL-RG2506477","RUGS 2024","4571","-","1","0"
"EDEN-0230C00-UT-TAUPE-ICE-XXL-RG2504678","RUGS 2024","4811","-","1","0"
"BED SHEET SET P009-WHITE KING 274X274 CM-MU1301009","SANSAAR PLAINS","181","-","1","4"
"BED IN A BAG MOM 087-CELENE-MARSHMALLOW--MU1300052","MOMENTS","52","-","1","4"
"DUVET SET P0042-SERENO-TAUPE GREY DOUBLE-MU1300536","ORIGINS","280","-","1","4"
"PALMA-470027-AF600-MEDIUM(120X170CMS)-RG2706045","RUGS 2022","2422","-","1","0"
"DECO-4495C00-CQ-DARK GOLD-CASTLE-XXL-RG2504659","RUGS 2024","4491","-","1","0"
"INK-463007-AF900-SMALL(80X140CMS)-RG2505236","RUGS 2021","1724","-","1","0"
"PLAY-63255-970-DOUBLE XL(240X340CMS)-RG2505149","RUGS 2021","1114","-","1","0"
"SIERRA-45614-000-MEDIUM(120X170CMS)-RG2705296","RUGS","895","-","1","0"
"HARMONY-7150-RD8-B-MEDIUM(120X170CMS)-RG2704571","RUGS 2022","2067","-","1","0"
"EDEN-0877C00-UZ-BRICH-TAUPE-XXL-RG2504679","RUGS 2024","4816","-","1","0"
"DECO-3727C00-HG-POL. DARK GREY-BEIGE-M-RG2704304","RUGS 2024","4453","-","1","0"
"BED SHEET SET P009-OAT MEAL KING 274X274-MU1300956","SANSAAR PLAINS","154","-","1","4"
"ATHENA-474713-JD503-O 230-RG2703732","SOLACE","5758","-","1","0"
"OMEGA-62002-OJ8 W-L-RG2705901","RUGS 2024","4719","-","1","0"
"AERIAL-912881-A8S F -M-RG2705789","NOVA","5162","-","1","0"
"TESSERA-1806-E8D C-XXL-RG2506686","NOVA","5170","-","1","300"
"ONDINE-12717-910-O 230-RG2705448","SOLACE","5772","-","1","300"
"ATHENA-474336-000-D 160-RG2703708","SOLACE","5644","-","1","0"
"LINLEY-55001-B8E A-M-RG2705848","RUGS 2024","4893","-","1","0"
"BED IN A BAG MOM 039-LEVANTO-MARSHMALLOW-MU1300102","MOMENTS","102","-","1","6"
